"","x"
"1",2.4097467234812
"2",1.87280758688578
"3",1.87280758688578
"4",1.89693596478578
"5",1.93010077813666
"6",1.91276869959262
"7",2.05630877145055
"8",2.04566389884761
"9",2.29185614688116
"10",2.36770086417711
"11",2.30560577399329
"12",2.59308106392749
"13",2.47385849077456
"14",1.87280758688578
"15",1.87280758688578
"16",1.9407456507396
"17",1.74174107977205
"18",2.04566389884761
"19",2.05630877145055
"20",2.02082586277408
"21",2.29185614688116
"22",2.46681645574671
"23",2.56114644611867
"24",2.44405284748633
"25",2.47385849077456
"26",1.87280758688578
"27",1.87280758688578
"28",1.9407456507396
"29",-1.31099347782695
"30",-1.31099347782695
"31",-1.31099347782695
"32",-1.31099347782695
"33",-1.31099347782695
"34",-1.31099347782695
"35",-1.31099347782695
"36",-0.3901168603409
"37",-0.363293125660202
"38",-0.204520068807808
"39",-0.227854265534629
"40",-0.182702186877956
"41",-0.192123587633048
"42",-0.112990824386104
"43",-0.411490821829101
"44",-0.389692292026178
"45",-0.36669625192258
"46",-0.363011552052531
"47",-0.354166921243455
"48",-0.413948226687577
"49",-0.349524334519289
"50",-0.243819062521352
"51",-0.267153259248173
"52",-0.211084033523212
"53",-0.200026461536011
"54",-0.178726459086308
"55",-0.200877043996565
"56",-0.118673404229248
"57",-0.0898309262486479
"58",-0.0127275593413943
"59",-0.038370687385138
